"Cancer","Subset1","Subset2","Isoform ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002zks.3","AK022914","5.071355248601016","0.25730522954853136","1.7991309948095395e-19","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003tha.1","AK023033","1.3063215203589613","0.0017813980912215058","0.000000000000011778022181414279","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002nrc.1","AK023040","2.1529569034507965","3.229438597567233","0.0000034626629930347066","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002ugf.1","AK023515","0.10615327604647766","0.947174690715793","0.0000000000000021800425775738427","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003yak.1","AK024242","1.0285972007651325","0.00414940991770523","0.000000000002951454371203431","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003sio.1","AK024243","0.10595111048419108","0.17195261239831122","0.0019575277167139878","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003owm.1","AK024736","3.6421972565591267","0.4025632240640134","0.0000000030294060932957208","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003pkm.2","AK024998","0.38729755015452255","0.019950076456573415","0.0017271717489363906","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002dol.1","AK025061","0.111354803200792","0.030988711315467238","0.000014391839364127792","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001bgg.1","AK025975","0.5607056501938851","0.1566458086740598","0.0013296525352812301","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001hvz.1","AK054726","0.16161671472129596","0.02607784328704231","0.000009999698353928646","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003lpb.1","AK054753","0.07920022111042155","0.395159305358868","1.0848850241710842e-21","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002igh.2","AK055254","0.3974883601539421","0.033941281766964676","0.0000000002138855405393304","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003ybn.2","AK055332","0.0614138483610396","0.017546352317002478","0.0000841039504210661","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002bqr.1","AK055351","0.2785130386397623","0.08170769911823252","0.0000000000259531370911489","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002fch.1","AK055364","0.1513630873506753","0.0128496842773348","0.000000009745111759909269","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001vmb.1","AK055459","4.90339289124947","0.2790227677977175","0.000000000000002185053096480057","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002wso.1","AK055550","0.04604839413756836","0.14795343393491872","0.0000015274154692736186","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003qwu.1","AK055570","0.1042467844402216","0.18970207583092086","0.0006875970314930535","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001ihc.1","AK055803","0.0071262845566067885","0.04208948024832381","0.0000000000024908861427689405","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001xoi.1","AK055876","0.04361253321305878","0.07684970329819082","0.0012403210283119866","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002wag.1","AK055890","0.0513815511216624","0.23677799116902337","0.00014774362898437892","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001stq.1","AK055974","0.1442932403841116","0.2785370629990295","0.000003671341225194908","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002zkv.3","AK056135","10.599542469263005","0.6308182764858855","6.699821321483295e-20","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003nlp.1","AK056211","0.048569000049027075","0.018444515884591405","0.00398182325538416","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001qlq.1","AK056228","0.061019525710698706","0.01175720069241746","0.0002461398246800123","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002xwp.1","AK056432","0.2026631511377071","0.02624347981006655","0.0000000746723109336492","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003kkb.1","AK056485","0.02022964030571469","0.0026306348577940144","0.0027326614123043234","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001abu.1","AK056486","0.15736140706952145","0.026133424102063135","0.0000018910969762256574","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003pce.2","AK056584","1.799883210441675","0.06051170185506182","0.00000000006622876382580575","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001zvi.1","AK056686","0.06680549807058744","0.18042139049165692","0.0000000196441179765511","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002dyp.1","AK056973","3.841651878654158","1.4533894650965227","0.00000000000001655126692393665","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001mjn.1","AK056982","0.7298466482462441","2.2002942124478904","0.00000000000011778898238800147","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002rqj.1","AK057187","0.01224254870407493","0.2004404788003335","5.017166620693363e-16","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003sxp.1","AK057379","0.17312972790476983","0.9038125076214264","0.00000000045694443138393785","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc003ife.1","AK057455","0.023314265337353677","0.06695708095169567","0.00023285538223938293","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc001vii.1","AK057471","0.670012822568111","0.0013352413961781684","0.000000000042946845289508825","TPM"
"Lung squamous cell carcinoma","Lung squamous cell carcinoma - Stage IIIA(62)","Lung squamous cell carcinoma (adjacent normal)(51)","uc002gyg.1","AK057473","0.5313368792408409","0.0014778815274191844","0.0029478975755096747","TPM"
