"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000216124.7","ARSA","0.066948","2.361454","0.008804290691823653","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000615257.1","AS3MT","0.14203266666666667","80.56238","0.009582288649443872","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000524367.3","ASAP1","0","21.66384","0.004585684195175545","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000437535.3","ASB15","23.496533333333335","0.0990222","0.002774813357181792","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000328142.3","ATAD1","9.210546666666666","32.2218","0.003325871762723817","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000613104.1","ATF3","0.3026413333333333","78.99516","0.007644966132154998","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000370557.3","ATP11C","0.09903066666666667","2.624918","0.009763252954801994","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000256031.6","ATP13A3","1.1716286666666667","34.324459999999995","0.009558643959327196","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000286371.5","ATP1B3","0.11777933333333333","10.035708","0.005422254742648304","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000308664.8","ATP2A2","178.75733333333332","10.813342","0.007554405264363172","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000553144.1","ATP2A2","376.4579999999999","0.044427","0.009599478592239375","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000519374.3","ATP6V0E1","0.7033666666666667","6.025184","0.003023320621196823","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000273398.5","ATP6V1A","0.19542333333333337","5.325758000000001","0.00375296329110476","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000370626.3","AVPI1","0.663194","25.98292","0.0024161183856489343","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000544417.3","B2M","69.39423333333333","1522.714","0.002437193323776277","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000451237.2","B3GALT4","0.15535633333333335","1.56366","0.008968228540262213","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000301998.4","B3GNT2","0.41797066666666666","14.785388000000001","0.00736966161635163","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000575841.3","BAIAP2","0","31.654179999999997","0.0076947457682822054","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000572498.1","BAIAP2","0","38.6245","0.0037494782754776902","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000307677.4","BCL2L1","1.6120999999999999","13.08398","0.005466366850991103","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000256495.3","BHLHE40","1.4636433333333334","34.48286","0.002312157281349591","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000311086.6","BOD1","5.093813333333333","16.226580000000002","0.008878943805205423","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000569282.1","BOLA2B","6.776553333333333","85.66348","0.006585976113109507","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000361704.4","BRE","0.6230406666666667","31.973959999999998","0.00953625500839049","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000357641.8","BRPF3","0.17507166666666665","1.2698226","0.009924140250940478","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000409600.3","BZW1","5.808493333333334","129.07262","0.007178161017409295","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000524958.3","C11orf48","6.227973333333334","28.3722","0.004544477072411278","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000547630.1","C12orf49","0.620175","76.01518","0.00394653143489033","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000319074.5","C14orf119","0","1.0649426","0.0027510621381515287","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000591243.1","C19orf12","0.18258733333333332","46.71604","0.009614294887294726","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000588258.3","C19orf40","0","0.1686208","0.008009793624853231","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000582006.3","C19orf47","16.214966666666665","0.308434","0.007199053133273197","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000340623.4","C2orf88","1.9662433333333336","11.549959999999999","0.008890800447791272","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000312275.7","C3orf55","0.07998733333333334","4.831682","0.006112252950232017","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000468043.3","C3orf55","0.26536366666666666","6.984054","0.00223277985529544","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000356253.7","CACNA2D1","4.700346666666667","0.2703164","0.008222494577537825","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000344140.5","CACNB1","21.488266666666664","0.1820634","0.0031534137906533994","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000392370.5","CALCRL","0.4491853333333334","10.33044","0.007953451644695386","FPKM"
"Sarcoma","Human skeletal muscle control(3)","Human alveolar soft part sarcoma(5)","ENST00000553630.1","CALM1","0","19.718980000000002","0.008890804530684963","FPKM"
