"Cancer","Subset1","Subset2","Transcript ID","Name","EXP1","EXP2","adjusted P-Value","Measure"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000602988.1","RP11-214K3.21","5.368143333333333","0.742345","0.008095910727931544","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000373137.2","RP11-268J15.5","0.316169","4.95455125","0.009698182280599672","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000507362.3","RP11-319G6.1","0.5485896666666666","0.10403862500000001","0.009279145103975131","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000564956.1","RP11-389C8.2","0.5401616666666667","0.018619375","0.005540365948426173","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000521141.1","RP11-459E5.1","40.068266666666666","0.56734775","0.00016571445514631977","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000437135.1","RP11-477J21.6","2.0921866666666666","0.12016850000000001","0.0020511811405391493","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000503987.1","RP11-584P21.2","0.49703633333333325","0.025531","0.0006798991165284576","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000529369.1","RP11-660L16.2","19.4025","3.199670875","0.009347882429727195","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000451601.1","RP11-809C18.3","1.36259","0.193557125","0.007819457170772287","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000549565.1","RP11-977G19.11","0","10.69122375","0.0024945460212652077","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000530422.1","SCARNA9","1.9423133333333336","84.77691250000001","0.009523390691083461","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000537925.3","SNHG1","31.758866666666666","0.27199412500000003","0.00011708489416437544","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000493536.3","SNHG16","867.3759999999999","73.09612499999999","0.004320080796575433","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000590435.3","SNHG16","174.24599999999998","34.7632125","0.008830832935043931","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000448136.3","SNHG16","22.955466666666666","1.1974020000000003","0.0016728613524563622","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000623112.1","SNHG7","37.17163333333334","8.0838875","0.002059829839070562","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000440408.3","TTTY15","4.013016666666667","0.600622","0.009387972992678352","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000443196.1","UPK1A-AS1","0","2.5298950000000002","0.008250396122401069","FPKM"
"Cutaneous Melanoma","Cutaneous melanoma - Cell Line MeWo(3)","Cutaneous melanoma - Short-Term Culture(8)","ENST00000421685.2","ZNF674-AS1","8.194303333333332","2.467577875","0.00882060351209407","FPKM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002dol.1","AK025061","0.03721546671335401","0.09718842822535556","0.005517549213823179","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001pfi.1","AK055250","0.20564328175834384","0.49417551589834763","0.005423941077161631","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc002uns.1","AK125001","0.009176029638417864","0.15852571087950673","0.009738344219420974","TPM"
"Cutaneous Melanoma","Skin cutaneous melanoma - Stage IIIB(11)","Skin cutaneous melanoma - Metastatic Stage III(38)","uc001yfu.2","BC038465","0.004676943202280345","0.06380817597994662","0.008748681461898515","TPM"
